cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2016-2533,ae453aa18b66af54e7ff716f4ccb33adca60afd4,6.5,0.03998,CWE-119,0.024,False,False
CVE-2016-3952,9706d125b42481178d2b423de245f5d2faadbf40,7.8,0.01058,CWE-255,0.0063,True,False
CVE-2016-4009,4e0d9b0b9740d258ade40cce248c93777362ac1e,9.8,0.07871,CWE-119,0.0472,True,False
CVE-2016-4444,5cd60033ea7f5bdf8c19c27b23ea2d773d9b09f5,7.0,0.00474,CWE-77,0.0028,True,False
CVE-2016-4445,2d12677629ca319310f6263688bb1b7f676c01b7,7.0,0.00474,CWE-77,0.0028,True,False
CVE-2016-6298,eb5be5bd94c8cae1d7f3ba9801377084d8e5a7ba,5.3,0.02226,CWE-200,0.0134,False,False
CVE-2016-6639,e2db3ccd4812e0c0aba20720fc51789d981aba67,7.5,0.01704,CWE-254,0.0102,True,False
CVE-2016-6902,a686f71732a3d0f16df52ef46ab8a49ee0083c68,9.9,0.05081,CWE-264,0.0305,True,False
CVE-2016-6903,e72dfcd1f258193f9aaea3591ecbdaed207661a0,9.9,0.04939,CWE-264,0.0296,True,False
CVE-2016-9243,b924696b2e8731f39696584d12cceeb3aeb2d874,7.5,0.03399,CWE-20,0.0204,True,False
CVE-2016-9909,9b8d8eb5afbc066b7fac9390f5ec75e5e8a7cab7,6.1,0.02141,CWE-79,0.4128,False,True
CVE-2016-9910,9b8d8eb5afbc066b7fac9390f5ec75e5e8a7cab7,6.1,0.02141,CWE-79,0.4128,False,True
CVE-2016-9964,6d7e13da0f998820800ecb3fe9ccee4189aefb54,6.5,0.01761,CWE-93,0.0106,False,False
CVE-2017-0881,7ecda1ac8e26d8fb3725e954b2dc4723dda2255f,4.3,0.01103,CWE-863,0.0066,False,False
CVE-2017-0896,1f48fa27672170bba3b9a97384905bb04c18761b,6.5,0.01278,CWE-862,0.0077,False,False
CVE-2017-0906,049c74699ce93cf126feff06d632ea63fba36742,9.8,0.02594,CWE-918,0.0156,True,False
CVE-2017-1002150,b27f38a67573f4c989710c9bfb726dd4c1eeb929,6.1,0.00809,CWE-601,0.0049,False,False
CVE-2017-14695,80d90307b07b3703428ecbb7c8bb468e28a9ae6d,9.8,0.02568,CWE-22,0.4154,True,True
CVE-2017-14696,5f8b5e1a0f23fe0f2be5b3c3e04199b57a53db5b,7.5,0.02739,CWE-20,0.0164,True,False
CVE-2017-15111,07f26e213196936fb328ea0c1d5a66a09d8b5440,5.5,0.00386,CWE-59,0.0023,False,False
CVE-2017-15112,c3121b271abaaa1a76de2b9ae89dacde0105cd75,7.8,0.00378,CWE-200,0.0023,True,False
CVE-2017-16615,bc795757febdcce430d89f9d08f75c32d6989d3c,9.8,0.03415,NVD-CWE-noinfo,0.0205,True,False
CVE-2017-16618,5d0575303f6df869a515ced4285f24ba721e0d4e,9.8,0.04435,NVD-CWE-noinfo,0.0266,True,False
CVE-2017-16667,cef81d0da93ff601252607df3db1a48f7f6f01b3,7.8,0.01462,CWE-78,0.0088,True,False
CVE-2017-16763,8cc86a5ec2327e070f1d576d61bbaadf861597ea,9.8,0.04435,NVD-CWE-noinfo,0.0266,True,False
CVE-2017-16876,5f06d724bc05580e7f203db2d4a4905fc1127f98,6.1,0.02216,CWE-79,0.4133,False,True
CVE-2017-17713,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,9.8,0.01972,CWE-89,0.4118,True,True
CVE-2017-17714,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,6.1,0.01168,CWE-79,0.407,False,True
CVE-2017-2661,1874a769b5720ae5430f10c6cedd234430bc703f,6.1,0.01199,CWE-79,0.4072,False,True
CVE-2017-2809,3f8f659ef443ab870bb19f95d43543470168ae04,7.8,0.02967,CWE-94,0.0178,True,False
CVE-2017-5537,abe0d2a29a1d8e896bfe829c8461bf8b391f1079,5.3,0.02287,CWE-200,0.0137,False,False
CVE-2017-5591,22664ee7b86c8e010f312b66d12590fb47160ad8,5.9,0.01263,CWE-20,0.0076,False,False
CVE-2017-5934,70955a8eae091cc88fd9a6e510177e70289ec024,6.1,0.01924,CWE-79,0.4115,False,True
CVE-2017-7266,3b4da13efabb05970c80f464a50d3c1c12262466,6.1,0.00957,CWE-601,0.0057,False,False
CVE-2017-7481,ed56f51f185a1ffd7ea57130d260098686fcc7c2,9.8,0.04804,CWE-20,0.0288,True,False
CVE-2017-7572,7f208dc547f569b689c888103e3b593a48cd1869,8.1,0.01083,CWE-362,0.0065,True,False
CVE-2017-8342,059ba8dec1f22ccbeab837e288b3833a099cee2d,8.1,0.02016,CWE-362,0.0121,True,False
CVE-2017-8342,190b1dd795f0c552a4992445a231da760211183b,8.1,0.02016,CWE-362,0.0121,True,False
